"","nome.y","nome.x","X.1.x","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.3.x","X.2.x","X.1.y","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X.3.y","X.2.y","minuto","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"41","Middlesbrough","WestHam",41,641,379,41,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"42","Middlesbrough","WestHam",42,641,379,42,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"43","Middlesbrough","WestHam",43,641,379,43,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"44","Middlesbrough","WestHam",44,641,379,44,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"45","Middlesbrough","WestHam",45,641,379,45,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"46","Middlesbrough","WestHam",46,641,379,46,0,0,1,0,0,0,1,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"47","Middlesbrough","WestHam",47,641,379,47,0,0,1,0,0,0,2,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"48","Middlesbrough","WestHam",48,641,379,48,0,0,1,0,0,0,2,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"49","Middlesbrough","WestHam",49,641,379,49,0,0,1,0,0,0,2,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"50","Middlesbrough","WestHam",50,641,379,50,0,0,1,0,0,0,2,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"51","Middlesbrough","WestHam",51,641,379,51,0,0,1,0,0,0,2,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"52","Middlesbrough","WestHam",52,641,379,52,0,1,1,0,0,0,2,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"53","Middlesbrough","WestHam",53,641,379,53,0,1,1,0,0,0,2,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"54","Middlesbrough","WestHam",54,641,379,54,0,1,1,0,0,0,2,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"55","Middlesbrough","WestHam",55,641,379,55,0,1,1,0,0,0,2,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"56","Middlesbrough","WestHam",56,641,379,56,0,1,1,0,0,0,2,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"57","Middlesbrough","WestHam",57,641,379,57,0,1,1,0,0,0,2,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"58","Middlesbrough","WestHam",58,641,379,58,1,1,1,0,0,0,2,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"59","Middlesbrough","WestHam",59,641,379,59,1,1,1,0,0,0,2,0,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"60","Middlesbrough","WestHam",60,641,379,60,1,1,1,0,0,0,2,1,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"61","Middlesbrough","WestHam",61,641,379,61,1,1,1,0,0,0,2,1,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"62","Middlesbrough","WestHam",62,641,379,62,1,1,1,0,0,0,2,1,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"63","Middlesbrough","WestHam",63,641,379,63,1,1,1,0,0,0,2,1,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"64","Middlesbrough","WestHam",64,641,379,64,1,1,1,1,0,0,2,1,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"65","Middlesbrough","WestHam",65,641,379,65,1,1,1,1,0,0,2,1,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"66","Middlesbrough","WestHam",66,641,379,66,1,1,1,1,0,0,2,1,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"67","Middlesbrough","WestHam",67,641,379,67,1,1,1,1,0,0,2,1,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"68","Middlesbrough","WestHam",68,641,379,68,1,1,1,1,0,0,2,1,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"69","Middlesbrough","WestHam",69,641,379,69,1,1,1,1,0,0,2,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"70","Middlesbrough","WestHam",70,641,379,70,1,1,1,1,0,0,2,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"71","Middlesbrough","WestHam",71,641,379,71,1,1,1,1,0,0,2,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"72","Middlesbrough","WestHam",72,641,379,72,1,1,1,1,0,0,2,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"73","Middlesbrough","WestHam",73,641,379,73,1,1,1,1,0,0,2,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"74","Middlesbrough","WestHam",74,641,379,74,1,1,1,1,0,0,3,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"75","Middlesbrough","WestHam",75,641,379,75,1,1,1,1,0,0,3,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"76","Middlesbrough","WestHam",76,641,379,76,1,1,1,1,0,0,3,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"77","Middlesbrough","WestHam",77,641,379,77,1,1,1,1,0,0,3,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"78","Middlesbrough","WestHam",78,641,379,78,1,1,1,1,0,0,3,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"79","Middlesbrough","WestHam",79,641,379,79,1,1,1,1,0,0,3,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"80","Middlesbrough","WestHam",80,641,379,80,1,1,1,1,0,0,3,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"81","Middlesbrough","WestHam",81,641,379,81,1,1,1,2,0,0,3,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"82","Middlesbrough","WestHam",82,641,379,82,1,1,1,2,0,0,3,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"83","Middlesbrough","WestHam",83,641,379,83,1,1,1,2,0,0,3,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"84","Middlesbrough","WestHam",84,641,379,84,1,1,1,2,0,0,3,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"85","Middlesbrough","WestHam",85,641,379,85,1,1,1,2,0,0,3,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"86","Middlesbrough","WestHam",86,641,379,86,1,1,1,2,0,0,3,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"87","Middlesbrough","WestHam",87,641,379,87,1,1,1,2,0,0,3,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"88","Middlesbrough","WestHam",88,641,379,88,1,1,1,2,0,0,3,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"89","Middlesbrough","WestHam",89,641,379,89,1,1,1,2,0,0,3,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
"90","Middlesbrough","WestHam",90,641,379,90,1,1,1,3,0,0,3,2,0,0,"TIE",18,18,18,18,18,6,1,0,5,7,-9,3,16,16,16,16,16,6,1,2,3,6,-3,5
