"","nome.y","nome.x","X.1.x","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.2.x","X.1.y","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X.2.y","minuto","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"58","Burnley","WestBrom",58,1132,984,58,3,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"59","Burnley","WestBrom",59,1132,984,59,3,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"60","Burnley","WestBrom",60,1132,984,60,3,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"61","Burnley","WestBrom",61,1132,984,61,3,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"62","Burnley","WestBrom",62,1132,984,62,3,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"63","Burnley","WestBrom",63,1132,984,63,3,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"64","Burnley","WestBrom",64,1132,984,64,3,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"65","Burnley","WestBrom",65,1132,984,65,4,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"66","Burnley","WestBrom",66,1132,984,66,4,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"67","Burnley","WestBrom",67,1132,984,67,4,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"68","Burnley","WestBrom",68,1132,984,68,4,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"69","Burnley","WestBrom",69,1132,984,69,4,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"70","Burnley","WestBrom",70,1132,984,70,4,0,0,0,0,0,0,1,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"71","Burnley","WestBrom",71,1132,984,71,4,0,0,0,0,0,0,2,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"72","Burnley","WestBrom",72,1132,984,72,4,0,0,0,0,0,0,2,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"73","Burnley","WestBrom",73,1132,984,73,4,0,0,0,0,0,0,2,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"74","Burnley","WestBrom",74,1132,984,74,4,0,0,0,0,0,0,2,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"75","Burnley","WestBrom",75,1132,984,75,4,0,0,0,0,0,0,2,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"76","Burnley","WestBrom",76,1132,984,76,4,0,0,0,0,0,1,2,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"77","Burnley","WestBrom",77,1132,984,77,4,0,0,0,0,0,1,2,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"78","Burnley","WestBrom",78,1132,984,78,4,0,0,0,0,0,1,2,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"79","Burnley","WestBrom",79,1132,984,79,4,0,0,0,0,0,1,2,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"80","Burnley","WestBrom",80,1132,984,80,4,0,0,0,0,0,2,3,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"81","Burnley","WestBrom",81,1132,984,81,4,0,0,0,0,0,2,3,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"82","Burnley","WestBrom",82,1132,984,82,4,0,0,0,0,0,2,3,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"83","Burnley","WestBrom",83,1132,984,83,4,0,0,0,0,0,2,3,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"84","Burnley","WestBrom",84,1132,984,84,4,0,0,0,0,0,3,3,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"85","Burnley","WestBrom",85,1132,984,85,4,0,0,0,0,0,3,3,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"86","Burnley","WestBrom",86,1132,984,86,4,0,0,0,0,0,3,3,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"87","Burnley","WestBrom",87,1132,984,87,4,0,0,0,0,0,3,3,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"88","Burnley","WestBrom",88,1132,984,88,4,0,0,0,0,0,3,3,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"89","Burnley","WestBrom",89,1132,984,89,4,0,0,0,0,0,3,3,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
"90","Burnley","WestBrom",90,1132,984,90,4,0,0,0,0,0,3,3,0,0,"HOME",13,13,13,13,9,2,4,3,10,0,10,14,14,14,14,9,3,1,5,8,-5,10
