"","X.1","nome.y","nome.x","X.1.x","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.2.x","X.1.y","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X.2.y","minuto","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"42",42,"Leicester","Chelsea",42,1003,631,42,2,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"43",43,"Leicester","Chelsea",43,1003,631,43,2,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"44",44,"Leicester","Chelsea",44,1003,631,44,2,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"45",45,"Leicester","Chelsea",45,1003,631,45,2,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"46",46,"Leicester","Chelsea",46,1003,631,46,2,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"47",47,"Leicester","Chelsea",47,1003,631,47,2,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"48",48,"Leicester","Chelsea",48,1003,631,48,2,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"49",49,"Leicester","Chelsea",49,1003,631,49,2,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"50",50,"Leicester","Chelsea",50,1003,631,50,2,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"51",51,"Leicester","Chelsea",51,1003,631,51,2,0,0,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"52",52,"Leicester","Chelsea",52,1003,631,52,2,0,1,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"53",53,"Leicester","Chelsea",53,1003,631,53,2,0,1,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"54",54,"Leicester","Chelsea",54,1003,631,54,2,0,1,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"55",55,"Leicester","Chelsea",55,1003,631,55,2,0,1,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"56",56,"Leicester","Chelsea",56,1003,631,56,2,0,1,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"57",57,"Leicester","Chelsea",57,1003,631,57,2,0,1,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"58",58,"Leicester","Chelsea",58,1003,631,58,2,0,1,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"59",59,"Leicester","Chelsea",59,1003,631,59,2,0,1,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
