"","nome.y","nome.x","X.1.x","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.1.y","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","minuto","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"47","Burnley","Leicester",47,1132,1003,47,1,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"48","Burnley","Leicester",48,1132,1003,48,1,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"49","Burnley","Leicester",49,1132,1003,49,2,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"50","Burnley","Leicester",50,1132,1003,50,2,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"51","Burnley","Leicester",51,1132,1003,51,2,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"52","Burnley","Leicester",52,1132,1003,52,2,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"53","Burnley","Leicester",53,1132,1003,53,2,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"54","Burnley","Leicester",54,1132,1003,54,2,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"55","Burnley","Leicester",55,1132,1003,55,2,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"56","Burnley","Leicester",56,1132,1003,56,2,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"57","Burnley","Leicester",57,1132,1003,57,2,0,0,0,0,0,0,0,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"58","Burnley","Leicester",58,1132,1003,58,2,0,0,0,0,0,0,1,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"59","Burnley","Leicester",59,1132,1003,59,2,0,0,0,0,0,0,1,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"60","Burnley","Leicester",60,1132,1003,60,2,0,0,0,0,0,0,1,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"61","Burnley","Leicester",61,1132,1003,61,2,0,0,0,0,0,0,1,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"62","Burnley","Leicester",62,1132,1003,62,2,0,0,0,0,0,0,1,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"63","Burnley","Leicester",63,1132,1003,63,2,0,0,0,0,0,0,1,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"64","Burnley","Leicester",64,1132,1003,64,2,0,0,0,0,0,0,1,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"65","Burnley","Leicester",65,1132,1003,65,2,0,0,0,0,0,0,2,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"66","Burnley","Leicester",66,1132,1003,66,2,0,0,0,0,0,0,2,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"67","Burnley","Leicester",67,1132,1003,67,2,0,0,0,0,0,0,2,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"68","Burnley","Leicester",68,1132,1003,68,2,0,0,0,0,0,0,2,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"69","Burnley","Leicester",69,1132,1003,69,2,0,0,0,0,0,0,2,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"70","Burnley","Leicester",70,1132,1003,70,2,0,0,0,0,0,0,2,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"71","Burnley","Leicester",71,1132,1003,71,2,0,0,0,0,0,0,2,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
"72","Burnley","Leicester",72,1132,1003,72,2,0,0,0,0,0,0,2,0,0,"HOME",16,16,16,4,1,1,2,4,-3,4,15,15,15,4,1,1,2,3,-2,4
